*Aici este salvata activitatea suspecta a fiecarui jucator.


L  20:55:38 |deathrun_snow_wind_v2| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  20:55:46 |deathrun_snow_wind_v2| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:11:46 |deathrun_av2009| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:12:06 |deathrun_av2009| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:15:56 |deathrun_av2009| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:15:58 |deathrun_av2009| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:49:07 |deathrun_insider| *ROM-Protect : L-am detectat pe "OreD" [ VALVE_0:4:9271006 | 5.15.70.168 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:05:17 |deathrun_hell1337_final| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:05:30 |deathrun_hell1337_final| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:22:05 |deathrun_hell1337_final| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:22:09 |deathrun_hell1337_final| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:26:42 |deathrun_bhopz_v2| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:26:44 |deathrun_bhopz_v2| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:26:44 |deathrun_bhopz_v2| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:33:05 |deathrun_bhopz_v2| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:33:07 |deathrun_bhopz_v2| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:34:28 |deathrun_bhopz_v2| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:34:28 |deathrun_bhopz_v2| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:34:29 |deathrun_bhopz_v2| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:34:33 |deathrun_bhopz_v2| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:37:28 |deathrun_bhopz_v2| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:39:21 |deathrun_bhopz_v2| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:39:49 |deathrun_bhopz_v2| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:39:58 |deathrun_bhopz_v2| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:39:59 |deathrun_bhopz_v2| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:39:59 |deathrun_bhopz_v2| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:43:12 |deathrun_bhopz_v2| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:43:13 |deathrun_bhopz_v2| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:43:13 |deathrun_bhopz_v2| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:43:17 |deathrun_bhopz_v2| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:43:18 |deathrun_bhopz_v2| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:56:27 |deathrun_3sixty_fg_fix2| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:56:38 |deathrun_3sixty_fg_fix2| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:20:35 |deathrun_easy_v1| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:20:36 |deathrun_easy_v1| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:44:32 |deathrun_easy_v1| *ROM-Protect : L-am detectat pe "-rTg|maEsTrOo" [ STEAM_0:1:154430568 | 89.123.111.250 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:46:52 |deathrun_crash_snow| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  00:01:14 |deathrun_surf| *ROM-Protect : L-am detectat pe "LoLz" [ VALVE_0:4:656232055 | 86.126.102.231 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
