*Aici este salvata activitatea suspecta a fiecarui jucator.


L  12:40:04 |deathrun_forest| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:41:25 |deathrun_forest| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:44:36 |deathrun_forest| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:47:02 |deathrun_forest| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:47:07 |deathrun_forest| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:47:25 |deathrun_forest| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:51:11 |deathrun_forest| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:52:22 |deathrun_bhopz_v2| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:52:55 |deathrun_bhopz_v2| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:58:50 |deathrun_bhopz_v2| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  12:59:28 |deathrun_bhopz_v2| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  13:10:33 |deathrun_bhopz_v2| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  13:10:57 |deathrun_bhopz_v2| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  13:11:15 |deathrun_bhopz_v2| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
