L 12/30/2016 - 00:35:07: Log file started (file "cstrike/addons/amxmodx/logs/TNI_30.12.2016.log") (game "cstrike") (amx "1.8.3-dev+5072")
L 12/30/2016 - 16:27:44: [TNI Systems] CHATBUG: [ Name: Sol | IP: ( 79.118.26.238 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
L 12/30/2016 - 16:27:46: [TNI Systems] CHATBUG: [ Name: Sol | IP: ( 79.118.26.238 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
L 12/30/2016 - 16:27:47: [TNI Systems] CHATBUG: [ Name: Sol | IP: ( 79.118.26.238 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
L 12/30/2016 - 16:30:03: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:1903675452 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:30:03: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:1903675452 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:30:03: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:1903675452 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:30:03: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:1903675452 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:30:03: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:1903675452 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:30:03: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:1903675452 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:30:13: [TNI Systems] [ Name: 1#Cstrike_GIGN_Label #Cstrike_G | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:1469765236 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:30:13: [TNI Systems] [ Name: 1#Cstrike_GIGN_Label #Cstrike_G | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:1469765236 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:30:13: [TNI Systems] [ Name: 1#Cstrike_GIGN_Label #Cstrike_G | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:1469765236 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:30:13: [TNI Systems] [ Name: 1#Cstrike_GIGN_Label #Cstrike_G | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:1469765236 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:30:13: [TNI Systems] [ Name: 1#Cstrike_GIGN_Label #Cstrike_G | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:1469765236 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:30:20: [TNI Systems] [ Name: Cstrike_GIGN_Label | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:787808285 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:30:20: [TNI Systems] [ Name: Cstrike_GIGN_Label | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:787808285 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:32:24: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:675377988 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:32:24: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:675377988 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:32:24: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:675377988 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:32:24: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:675377988 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:32:24: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:675377988 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:32:24: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:675377988 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:32:50: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:218116792 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:32:50: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:218116792 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:32:50: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:218116792 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
L 12/30/2016 - 16:32:50: [TNI Systems] [ Name: d #Spec_Help_Text #Spec_Duck | IP: ( 92.81.176.224 ) | SteamID: STEAM_0:0:218116792 ] incearca sa se conecteze cu un nume de bug, am hotarat ca e mai bine sa-ti dam un kick.
